drawbridge_handle,cookie_id,computer_os_type,computer_browser_version,country,anonymous_c0,anonymous_c1,anonymous_c2,anonymous_5,anonymous_6,anonymous_7
-1,id_10,computer_os_type_203,computer_browser_version_1158,country_146,1,anonymous_c1_1307,anonymous_c2_18778,15,1,204
handle_609762,id_100,computer_os_type_133,computer_browser_version_875,country_146,1,anonymous_c1_753,-1,41,1,204
handle_1622320,id_1000,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_906,anonymous_c2_751,40,140,204
-1,id_10000,computer_os_type_203,computer_browser_version_36,country_146,1,anonymous_c1_255,anonymous_c2_2725,34,140,204
handle_1286628,id_100000,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_255,anonymous_c2_235,52,134,204
-1,id_1000003,computer_os_type_200,computer_browser_version_683,country_146,0,anonymous_c1_983,-1,23,67,204
handle_226230,id_1000006,computer_os_type_203,computer_browser_version_1238,-1,1,-1,-1,1,183,183
-1,id_1000007,computer_os_type_133,computer_browser_version_36,country_177,-1,anonymous_c1_431,anonymous_c2_22023,7,141,197
handle_15216,id_1000008,computer_os_type_200,computer_browser_version_482,country_146,0,anonymous_c1_1179,anonymous_c2_2683,40,74,204
handle_1043549,id_1000009,computer_os_type_133,computer_browser_version_1158,country_146,0,anonymous_c1_1307,anonymous_c2_6720,11,161,203
handle_1303003,id_100001,computer_os_type_133,computer_browser_version_683,country_146,0,anonymous_c1_493,anonymous_c2_27360,9,136,204
-1,id_1000014,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_1250,anonymous_c2_19302,89,140,204
handle_1929259,id_1000015,computer_os_type_26,computer_browser_version_450,country_146,0,anonymous_c1_550,anonymous_c2_1338,46,60,204
handle_853638,id_1000017,computer_os_type_133,computer_browser_version_1238,country_146,1,anonymous_c1_639,anonymous_c2_27190,15,1,165
handle_1204416,id_1000022,computer_os_type_185,computer_browser_version_897,-1,0,-1,-1,7,144,153
handle_1500607,id_1000025,computer_os_type_203,computer_browser_version_875,country_146,0,anonymous_c1_317,anonymous_c2_3469,11,1,200
handle_874748,id_1000026,computer_os_type_203,computer_browser_version_36,country_146,0,anonymous_c1_673,anonymous_c2_17315,15,165,190
-1,id_1000028,computer_os_type_203,computer_browser_version_611,country_146,1,-1,-1,11,150,204
handle_1257881,id_1000033,computer_os_type_146,computer_browser_version_548,-1,0,anonymous_c1_1128,-1,13,1,204
handle_2002832,id_1000034,-1,computer_browser_version_1123,country_146,-1,anonymous_c1_645,anonymous_c2_7206,5,18,199
